id,InfrastID,WBS,Category,Subcategory,Project Name,Project Description,Project Priority,Funding Needed,address,From,To,LATITUDE,LONGITUDE,Quadrant(s),NE Quadrant,NW Quadrant,SE Quadrant,SW Quadrant,Quadrant Factor,Quadrant Funding Estimated,CD,CD 1,CD 2,CD 3,CD 4,CD 5,CD 6,CD 7,CD 8,CD 9,CD 10,CD 11,CD 12,CW,CD Funding Factor,CD Funding Estimated,NPU 1,NPU 2,NPU 3,NPU 4,NPU 5,Neighborhood 1,Neighborhood 2,Neighborhood 3,Neighborhood 4,Neighborhood 5,Neighborhood 6,Neighborhood 7,Neighborhood 8,Neighborhood 9,Neighborhood 10,Neighborhood 11,Corridor 1,Corridor 2,Corridor 3,Secondary Corridor 1,Secondary Corridor 2,Secondary Corridor 3,Regional Employment Center,Priority and Sub Cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 6,Resurfacing projects in Council District 6.,Medium,"$1,487,500 ",,,,,,NE,NE,,,,1,"$1,487,500 ",,,,,,,6,,,,,,,,1,"$1,487,500 ",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,4,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 6,Resurfacing projects in Council District 6.,High,"$1,487,500 ",,,,,,NE,NE,,,,1,"$1,487,500 ",,,,,,,6,,,,,,,,1,"$1,487,500 ",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,5,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 6,Resurfacing projects in Council District 6.,High,"$1,487,500 ",,,,,,NE,NE,,,,1,"$1,487,500 ",,,,,,,6,,,,,,,,1,"$1,487,500 ",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 3,Resurfacing projects in Council District 3.,Medium,"$1,825,000 ",,,,,,"NW, SW",,NW,,SW,0.5,"$912,500 ",,,,3,,,,,,,,,,,1,"$1,825,000 ",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 3,Resurfacing projects in Council District 3.,Medium,"$1,825,000 ",,,,,,"NW, SW",,NW,,SW,0.5,"$912,500 ",,,,3,,,,,,,,,,,1,"$1,825,000 ",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 3,Resurfacing projects in Council District 3.,Medium,"$1,825,000 ",,,,,,"NW, SW",,NW,,SW,0.5,"$912,500 ",,,,3,,,,,,,,,,,1,"$1,825,000 ",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,R4,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 3,Resurfacing projects in Council District 3.,high,"$1,825,000 ",,,,,,"NW, SW",,NW,,SW,0.5,"$912,500 ",,,,3,,,,,,,,,,,1,"$1,825,000 ",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,R4,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 3,Resurfacing projects in Council District 3.,High,"$1,825,000 ",,,,,,"NW, SW",,NW,,SW,0.5,"$912,500 ",,,,3,,,,,,,,,,,1,"$1,825,000 ",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,,1.4.5,Traffic,Traffic Signals,Traffic Signal Communications,Upgrade communications network to ATCC.,High,"$1,860,000 ",,,ATCC.,,,"NE, NW, SE, SW",NE,NW,SE,SW,0.25,"$465,000 ",,,,,,,,,,,,,,CW,1,"$1,860,000 ",,,,,,,,,,,,,,,,,,,,,,,,High Traffic Signals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 7,Resurfacing projects in Council District 7.,High,"$1,887,500 ",,,,,,NE,NE,,,,1,"$1,887,500 ",,,,,,,,7,,,,,,,1,"$1,887,500 ",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
