id,order,GIS ObjectID,InfrastID,WBS,Code,Funding comment,Portfolio,Category,Subcategory,Project Name,Project Description,Project Priority,Funding Needed,address,From,To,LATITUDE,LONGITUDE,Quadrants,NE Quadrant,NW Quadrant,SE Quadrant,SW Quadrant,Quadrant Factor,Quadrant Funding Estimated,CD,CD 1,CD 2,CD 3,CD 4,CD 5,CD 6,CD 7,CD 8,CD 9,CD 10,CD 11,CD 12,CW,CD Funding Factor,CD Funding Estimated,NPU 1,NPU 2,NPU 3,NPU 4,NPU 5,Neighborhood 1,Neighborhood 2,Neighborhood 3,Neighborhood 4,Neighborhood 5,Neighborhood 6,Neighborhood 7,Neighborhood 8,Neighborhood 9,Neighborhood 10,Neighborhood 11,Corridor 1,Corridor 2,Corridor 3,Secondary Corridor 1,Secondary Corridor 2,Secondary Corridor 3,Regional Employment Center,Priority and Sub Cat,Comments,Added,dropped
26,26,,,,,2028-E,Transportation,Roadway,Roadway Resurfacing,Barnett Street,Resurfacing from Virginia Avenue toPonce de Leon Avenue,High,"$195,218","Barnett St Ne, Atlanta, GA 30306",Barnett St Ne,,33.7767001,-84.3587186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,,,,,2177-E,Transportation,Traffic,Traffic Signals,Barnett Street @ Saint Charles Place,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","781 Barnett St NE, Atlanta, GA 30306",781 Barnett St NE,,33.775992,-84.3584895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,,,,,2029-E,Transportation,Roadway,Roadway Resurfacing,Beecher Street,Resurfacing from Donnelly Avenue to Ferris Street,High,"$456,300","792 Cascade Place Southwest, Atlanta, GA 30310",792 Cascade Place Southwest,,33.7335393,-84.435386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,,,,,2254-E,Municiple,Facility,Parks and Recreation Centers,Ben Hill Recreation Center,"Generator improvements, kitchen equipment upgrade, & interior paint.",High,,"2405 Fairburn Rd SW, Atlanta, GA 30331",2405 Fairburn Rd SW,,33.688914,-84.513045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,,,,,2030-E,Transportation,Roadway,Roadway Resurfacing,Berne Street,Resurfacing from Boulevard to Moreland Avenue,High,"$354,200","671 Moreland Avenue Southeast, Atlanta, GA 30316",671 Moreland Avenue Southeast,,33.7358882,-84.3494975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,,,,,2108-E,Transportation,Traffic,School Zone Beacons,Anchored Sail,School flashers for elementary school at 220 Northside Drive.,High,"$18,540","220 Northside Drive Northwest, Atlanta, GA 30314",220 Northside Drive Northwest,,33.7606465,-84.4035692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,,,,,2031-E,Transportation,Roadway,Roadway Resurfacing,Beverly Road,Resurfacing from Peachtree Street and Dead End,High,"$286,382","106 Beverly Rd NE, Atlanta, GA 30309",106 Beverly Rd NE,,33.7969792,-84.3839309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,,,,,2342-E,Municipal,Public Art,Public Art,Birth of Atlanta,"Remove, restore, re-install.  Must build new site for art on concrete piers to get elevation.",,,"50 Alabama St. SW 30303 Underground Atlanta, Visitor Center",,,33.751688,-84.389952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,,,,,2032-E,Transportation,Roadway,Roadway Resurfacing,Bohler Road,Resurfacing from Defoors Ferry Road to West Wesley Road,High,"$272,800","2636 Bohler Rd NW, Atlanta, GA 30327",2636 Bohler Rd NW,,33.827122,-84.429685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,,,,,2109-E,Transportation,Traffic,School Zone Beacons,Bolton Elementary School,School flashers for elementary school at 2268 Adams Drive Citywide,High,"$9,270","2268 Adams Drive Northwest, Atlanta, GA 30318‎",2268 Adams Drive Northwest,,33.8173024,-84.4555788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
