id,order,GIS ObjectID,InfrastID,WBS,Code,Funding comment,Portfolio,Category,Subcategory,Project Name,Project Description,Project Priority,Funding Needed,address,From,To,LATITUDE,LONGITUDE,Quadrants,NE Quadrant,NW Quadrant,SE Quadrant,SW Quadrant,Quadrant Factor,Quadrant Funding Estimated,CD,CD 1,CD 2,CD 3,CD 4,CD 5,CD 6,CD 7,CD 8,CD 9,CD 10,CD 11,CD 12,CW,CD Funding Factor,CD Funding Estimated,NPU 1,NPU 2,NPU 3,NPU 4,NPU 5,Neighborhood 1,Neighborhood 2,Neighborhood 3,Neighborhood 4,Neighborhood 5,Neighborhood 6,Neighborhood 7,Neighborhood 8,Neighborhood 9,Neighborhood 10,Neighborhood 11,Corridor 1,Corridor 2,Corridor 3,Secondary Corridor 1,Secondary Corridor 2,Secondary Corridor 3,Regional Employment Center,Priority and Sub Cat,Comments,Added,dropped
137,137,,,,,2055-E,Transportation,Roadway,Roadway Resurfacing,Hills Avenue,Resurfacing from Chattahoochee Avenue to Defoors Ferry Road,High,"$143,700","2144 Hills Ave NW, Atlanta, GA 30318",2144 Hills Ave NW,,33.8143204,-84.4316179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,138,,,,,2056-E,Transportation,Roadway,Roadway Resurfacing,Hills Place,Resurfacing from Hills Avenue to cul-de-sac,High,"$91,300","1416 Hills Pl NW, Atlanta, GA 30318",1416 Hills Pl NW,,33.811684,-84.4341309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,139,,,,,2057-E,Transportation,Roadway,Roadway Resurfacing,Hollow Tree Lane,Resurfacing from Empire Boulevard to end of road,High,"$20,600","120 Hollow Tree Ln SW, Atlanta, GA 30354",120 Hollow Tree Ln SW,,33.6623549,-84.3938705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,140,,,,,2190-E,Transportation,Traffic,Traffic Signals,Hollywood Road @ Johnson Road,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","6 Johnson Rd NW, Atlanta, GA 30318",6 Johnson Rd NW,,33.7801849,-84.4549205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,141,,,,,2161-E,Transportation,Traffic,Traffic Communication Corridor,Hosea Williams Drive,Upgrades along major thoroughfares to optimize signal operations and communications network to ATCC.,High,"$961,300","1998 Hosea L Williams Dr SE, Atlanta, GA 30317",1998 Hosea L Williams Dr SE,,33.7511729,-84.3221704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,142,,,,,2015-E,Transportation,Complete Street,Complete Street,Howell Mill Rd,"Complete Street improvements inclusive of milling, resurfacing and installation of bicycle lanes along Howell Mill Rd between Collier Rd and W. Marietta St, including streetscape and pedestrian safety improvements.",High,"$2,051,100","2020 Howell Mill Rd, Atlanta, GA 30318",2020 Howell Mill Rd,,33.8103339,-84.4140244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,143,,,,,2191-E,Transportation,Traffic,Traffic Signals,Howell Mill Road @ Collier Road,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","785 Collier Rd NW, Atlanta, GA 30318",785 Collier Rd NW,,33.8094653,-84.4134608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,144,,,,,2192-E,Transportation,Traffic,Traffic Signals,Howell Mill Road @ Huff Road,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","1210 Howell Mill Rd NW, Atlanta, GA 30318",1210 Howell Mill Rd NW,,33.7875168,-84.4121903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,145,,,,,2236-E,Transportation,Traffic,Traffic Signals,Howell Mill Road @ Moores Mill Road,"Improve the intersection of Moores Mill and Howell Mill Road,",High,,"2985 Howell Mill Rd NW, Atlanta, GA 30327",2985 Howell Mill Rd NW,,33.837871,-84.42055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,146,,,,,2193-E,Transportation,Traffic,Traffic Signals,Howell Mill Road @ Peachtree Battle Avenue,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","927 Peachtree Battle Ave NW, Atlanta, GA 30327",927 Peachtree Battle Ave NW,,33.8246711,-84.4179703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,147,,,,,2058-E,Transportation,Roadway,Roadway Resurfacing,Huber Street,Resurfacing from Chattahoochee Avenue to Glidden Street,High,"$139,400","1630 Huber St NW, Atlanta, GA 30318",1630 Huber St NW,,33.799346,-84.425001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,148,,,,,2059-E,Transportation,Roadway,Roadway Resurfacing,Huff Road,Resurfacing from Howell Mill Road to Marietta Boulevard,High,"$319,100","1082 Huff Road Northwest, Atlanta, GA 30318",1082 Huff Road Northwest,,33.7890226,-84.4228323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,149,,,,,2120-E,Transportation,Traffic,School Zone Beacons,Humphries Elementary,School flashers for elementary school at 3029 Humphries Drive,High,"$9,270","Humphries Drive Southeast, Atlanta, GA 30354",Humphries Drive Southeast,,33.673195,-84.376915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,150,,,,,2121-E,Transportation,Traffic,School Zone Beacons,Hutchinson Elementary,School flashers for elementary school at 650 Cleveland Avenue,High,"$9,270","650 Cleveland Ave SW, Atlanta, GA 30315",650 Cleveland Ave SW,,33.680697,-84.4096958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,151,,,,,2122-E,Transportation,Traffic,School Zone Beacons,Inman Middle School,School flashers for middle school at 774 Virginia Avenue,High,"$9,270","774 Virginia Avenue Northeast, Atlanta, GA 30306","774 Virginia Avenue Northeast,",,33.782326,-84.362765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,152,,,,,2301-E,Municiple,Public Art,Public Art,Isamu Noguchi ,Paint restoration.,,,,,,33.7858132,-84.3742034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,153,,,,,2263-E,Municiple,Public Buildings,Public Buildings,John C. Burdine Neighborhood Center,"ADA upgrades, replace water damaged ceiling tiles, interior and exterior paint.",High,,"215 Lakewood Way SW, Atlanta, GA 30315",215 Lakewood Way SW,,33.701117,-84.396784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,154,,,,,2015-E,Transportation,Complete Street,Complete Street,J E Boone Blvd,"Complete Street improvements inclusive of milling, repaving, and restriping to include bicycle lanes along Joseph E.  Boone Blvd between Mayson Turner Road and Northside Dr. (SR 3/US 41), including sidewalk and pedestrian safety",High,"$1,104,200.00","1355 Simpson Rd NW, Atlanta, GA 30314",1355 Simpson Rd NW,,33.763801,-84.432138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,155,,,,,2015-E,Transportation,Complete Street,Complete Street,J E Lowery Blvd,"Complete Street improvements inclusive of milling, repaving, and installation of bicycle lanes, sidewalks and
pedestrian improvements along JE Lowery Blvd between JE Boone Blvd and Mitchell St",High,"$718,000.00","916 Joseph E Lowery Blvd NW, Atlanta, GA 30318916 Joseph E Lowery Blvd NW",,,33.7803818,-84.4178694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,156,,,,,2123-E,Transportation,Traffic,School Zone Beacons,Jackson Elementary School,School flashers for elementary school at 1325 Mount Paran Road,High,"$9,270","1325 Mount Paran Road Northwest, Atlanta, GA 30327",1325 Mount Paran Road Northwest,,33.873375,-84.4228205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,157,,,,,2124-E,Transportation,Traffic,School Zone Beacons,Jackson High School,School flashers for high school at 801 Glenwood Avenue SE,High,"$9,270","801 Glenwood Avenue Southeast, Atlanta, GA",801 Glenwood Avenue Southeast,,33.7395767,-84.3617717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,158,,,,,2060-E,Transportation,Roadway,Roadway Resurfacing,Jefferson Street,Resurfacing from Echo Street to Joseph E. Lowery Boulevard,High,"$171,500","856 Jefferson St NW, Atlanta, GA 30318","856 Jefferson St NW, Atlanta",,33.7761574,-84.4145984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,159,,,,,2231-E,Transportation,Roadway,Roadway Resurfacing,John Portman Boulevard (Harris Street),Resurfacing from Centennial Olympic Park Drive to Piedmont Avenue.,High,,"245 Peachtree Center Ave NE, Atlanta, GA 30303",245 Peachtree Center Ave NE,,33.7611653,-84.3856723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,160,,,,,2316-E,Municipal,Public Art,Public Art,John Wesley Dobbs,Bronze restoration.,,,,,,33.7549687,-84.3777788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,161,,,,,2063-E,Transportation,Roadway,Roadway Resurfacing,Johnson Road - Phase 1,Resurfacing from 1600 Johnson Road to City Limit south of Zonolite Rd,High,"$20,405","1762 Johnson Rd NE, Atlanta, GA 30306",1762 Johnson Rd NE,,33.801867,-84.3425408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,162,,,,,2062-E,Transportation,Roadway,Roadway Resurfacing,Johnson Road - Phase 2,Resurfacing from Lenox Rd to 1600 Johnson Road,High,"$68,304","1646 Johnson Rd NE, Atlanta, GA 30306",1646 Johnson Rd NE,,33.79931,-84.3469943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,163,,,,,2125-E,Transportation,Traffic,School Zone Beacons,Jones Elementary School,School flashers for elementary school at 1040 Fair Street,High,"$9,270","1040 Fair Street Southwest, Atlanta, GA 30314",1040 Fair Street Southwest,,33.748791,-84.4215868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,164,,,,,2194-E,Transportation,Traffic,Traffic Signals,Jonesboro Road @ Claire Drive & Sawtell Avenue,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","1714 Jonesboro Rd SE, Atlanta, GA 30315",1714 Jonesboro Rd SE,,33.705377,-84.378523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,165,,,,,2162-E,Transportation,Traffic,Traffic Communication Corridor,Joseph E. Boone,Upgrades along major thoroughfares to optimize signal operations and communications network to ATCC.,High,"$1,154,400","1232 Joseph E. Boone Blvd NW, Atlanta, GA 30314",1232 Joseph E. Boone Blvd NW,,33.7633509,-84.4279153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,166,,,,,2163-E,Transportation,Traffic,Traffic Communication Corridor,Joseph E. Lowery,Upgrades along major thoroughfares to optimize signal operations and communications network to ATCC.,High,"$333,000","294 Joseph E Lowery Blvd NW, Atlanta, GA 30314",294 Joseph E Lowery Blvd NW,,33.7628611,-84.417782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,167,,,,,2126-E,Transportation,Traffic,School Zone Beacons,Kimberly Elementary School,School flashers for elementary school at 3090 McMurray Drive,High,"$9,270","3090 McMurray Drive Southwest, Atlanta, GA 30311",3090 McMurray Drive Southwest,,33.7019171,-84.4894527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,168,,,,,2127-E,Transportation,Traffic,School Zone Beacons,Kipp Atlanta Collegiate,School flashers for middle school at 98 Anderson Avenue,High,"$18,540","98 Anderson Avenue Northwest, Atlanta, GA 30314",98 Anderson Avenue Northwest,,33.756172,-84.4512398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,169,,,,,2306-E,Municipal,Public Art,Public Art,La Famillia de Pie,Fiberglass repairs. ,,,,,,33.7675038,-84.3800024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,170,,,,,2065-E,Transportation,Roadway,Roadway Resurfacing,Lake Avenue,Resurfacing from Elizabeth Street to Irwin Street,High,"$123,700","798 Lake Ave NE, Atlanta, GA 30307",798 Lake Ave NE,,33.7588084,-84.3617207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,171,,,,,2240-E,Municiple,Facility,Parks and Recreation Centers,Lake Claire Park ,"Pathway, tennis courts, new entrance, and other priorities.",High,,"Lake Claire Park, Atlanta, GA 30307",Lake Claire Park,,33.766315,-84.326484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,172,,,,,2066-E,Transportation,Roadway,Roadway Resurfacing,Lakewood Avenue,Resurfacing from Langford Parkway to Jonesboro Road,High,"$427,800","2335 Lakewood Ave, Atlanta, GA 30315",2335 Lakewood Ave,,33.6973691,-84.395414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,173,,,,,2195-E,Transportation,Traffic,Traffic Signals,Lakewood Avenue @ Claire Drive,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","213 Claire Dr SE, Atlanta, GA 30315",213 Claire Dr SE,,33.7048791,-84.381034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,174,,,,,2196-E,Transportation,Traffic,Traffic Signals,Lakewood Avenue @ Fleet Street & Georgia 166 Ramps,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","2930 Lakewood Ave SW, Atlanta, GA 30315",2930 Lakewood Ave SW,,33.6973698,-84.4143289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,175,,,,,2197-E,Transportation,Traffic,Traffic Signals,Lakewood Avenue @ Macon Drive & Lakewood Way,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","2198 Lakewood Ave, Atlanta, GA 30315",2198 Lakewood Ave,,33.6993444,-84.3920126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,176,,,,,2198-E,Transportation,Traffic,Traffic Signals,Lakewood Avenue @ Sylvan Road,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","3099 Lakewood Ave SW, Atlanta, GA 30310",3099 Lakewood Ave SW,,33.6973565,-84.4196682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,177,,,,,2067-E,Transportation,Roadway,Roadway Resurfacing,Lakewood Way,Resurfacing from Pryor Road to Lakewood Avenue,High,"$119,700","246 Lakewood Way SW, Atlanta, GA 30315",246 Lakewood Way SW,,33.7005639,-84.3989277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,178,,,,,2236-E,Municiple,Facility,Parks and Recreation Centers,Lang Carson Recreation Center ,"Kitchen renovations, interior/exterior finishes.",High,,"100 Flat Shoals Ave SE, Atlanta, GA 30316",100 Flat Shoals Ave SE,,33.751567,-84.355552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,179,,,,,2069-E,Transportation,Roadway,Roadway Resurfacing,Lawton Street,Resurfacing from Fair Street to Donnally Avenue,High,"$367,000","288 Lawton St SW, Atlanta, GA 30314",288 Lawton St SW,,33.7470549,-84.4232742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,180,,,,,2199-E,Transportation,Traffic,Traffic Signals,Lee Street @ White Oak Avenue,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","1117 Lee St SW, Atlanta, GA 30310",1117 Lee St SW,,33.7244882,-84.4210078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,181,,,,,2320-E,Municipal,Public Art,Public Art,Legends,Paint and metal restoration.,Paint and metal restoration.,,,,,33.758177,-84.4243044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,182,,,,,2071-E,Transportation,Roadway,Roadway Resurfacing,Lenox Road - Phase 2,Resurfacing from Buford Hwy to Peachtree Road,High,"$566,266","3228 Lenox Rd NE, Atlanta, GA 30324",3228 Lenox Rd NE,,33.8427042,-84.358149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,183,,,,,2252-E,Municiple,Facility,Parks and Recreation Centers,Lenox Wildwood Recreation Center,"ADA Upgrades, repair basketball and tennis courts. ",High,,"Lenox-Wildwood Park, Atlanta, GA 30306",Lenox-Wildwood Park,,33.800665,-84.352769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,184,,,,,2128-E,Transportation,Traffic,School Zone Beacons,Lin Elementary School,School flashers for elementary school at 586 Candler Park Drive,High,"$9,270","586 Candler Park Drive Northeast, Atlanta, GA 30307",586 Candler Park Drive Northeast,,33.769614,-84.3400749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,185,,,,,2072-E,Transportation,Roadway,Roadway Resurfacing,Lindbergh Way - Phase 1,Resurfacing from Lindbergh Drive to Piedmont Road,High,"$25,499","628 Lindbergh Dr, Atlanta, GA 30324",628 Lindbergh Dr,,33.8214694,-84.3677302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,186,,,,,2073-E,Transportation,Roadway,Roadway Resurfacing,Lindbergh Way - Phase 2,Resurfacing from Piedmont Road to Morosgo Way,High,"$35,474","671 Lindbergh Way NE, Atlanta, GA 30324",671 Lindbergh Way NE,,33.8206215,-84.3667917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,187,,,,,2074-E,Transportation,Roadway,Roadway Resurfacing,Linden Avenue,Resurfacing from Piedmont Avenue to Spring Street,High,"$191,500","80 Linden Ave NW, Atlanta, GA 30308",80 Linden Ave NW,,33.7700076,-84.3888658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,188,,,,,2129-E,Transportation,Traffic,School Zone Beacons,Long Middle School,School flashers for middle school at 3200 Latona Drive,High,"$9,270","3200 Latona Drive Southwest, Atlanta, GA 30354",3200 Latona Drive Southwest,,33.6666804,-84.3952224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,189,,,,,2075-E,Transportation,Roadway,Roadway Resurfacing,Loridans Drive,Resurfacing from Wieuca Road to Peachtree Dunwoody Road,High,"$146,410","650 Loridans Dr NE, Atlanta, GA 30342",650 Loridans Dr NE,,33.8737078,-84.3659164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,190,,,,,2200-E,Transportation,Traffic,Traffic Signals,Evolution,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","287 Pine St NW, Atlanta, GA 30313",287 Pine St NW,,33.7678389,-84.3958186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,191,,,,,2164-E,Transportation,Traffic,Traffic Communication Corridor,M.L. King Jr Dr.,"Upgrades along M. L. King Jr. Drive, from I-285 to Joseph E Lowery to optimize signal operations and communications network to ATCC.",High,"$1,474,200","2429 Martin Luther King Junior Drive Southwest, Atlanta, GA 30311",2429 Martin Luther King Junior Drive Southwest,,33.7522674,-84.4667048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,192,,,,,2016-E,Transportation,Complete Street,Complete Street,M.L. King Jr Drive,"Complete Street improvements inclusive of milling,resurfacing and installation of bicycle lanes along some sections; RD Abernathy Blvd to Oakland Cemetery including streetscape and pedestrian safety improvements.",High,"$4,573,300.00","2429 Martin Luther King Jr Drive, Atlanta, GA 30311",2429 Martin Luther King Jr Drive,,33.7522674,-84.4667048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,193,,,,,2226-E,Non-Transportation Major,Facility,Parks and Recreation Centers,Dr. Martin Luther King Jr. Natatorium,Design and construction of a state of the art community and swimming facility in the historic Old 4th Ward.,high,"$17,500,000.00",,,,33.751608,-84.376289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,194,,,,,2076-E,Transportation,Roadway,Roadway Resurfacing,Macon Drive,Resurfacing from Cleveland Avenue to Lakewood Avenue,High,"$404,000","2394 Macon Dr SW, Atlanta, GA 30315",2394 Macon Dr SW,,33.6893453,-84.3903538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,195,,,,,2201-E,Transportation,Traffic,Traffic Signals,Macon Drive @ Old Hapeville Road & Bromack Drive,"Replacement of traffic signal LED's, controller monitor signal wiring, communication, & timing at the intersection.",High,"$74,920","2424 Macon Dr SW, Atlanta, GA 30315",2424 Macon Dr SW,,33.688304,-84.3897609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,196,,,,,2345-E,Municipal,Public Art,Public Art,Margaret Mitchell Square,"Cleaning , stone and lighting repairs.",,,Peachtree St. NE 30303 Margaret Mitchell Square,,,33.757562,-84.38792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,197,,,,,2165-E,Transportation,Traffic,Traffic Communication Corridor,Marietta Blvd,Upgrades along major thoroughfares to optimize signal operations and communications network to ATCC.,High,"$799,200","1401 Marietta Boulevard Northwest, Atlanta, GA 30318",1401 Marietta Boulevard Northwest,,33.792787,-84.429995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,198,,,,,2202-E,Transportation,Traffic,Traffic Signals,Marietta Boulevard @ Chattahoochee Avenue,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","1544 Chattahoochee Ave NW, Atlanta, GA 30318",1544 Chattahoochee Ave NW,,33.8104323,-84.4388727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,199,,,,,2203-E,Transportation,Traffic,Traffic Signals,Marietta Road @ Perry Boulevard & Johnson Road,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","1506 Perry Blvd NW, Atlanta, GA 30318",1506 Perry Blvd NW,,33.7884729,-84.4368107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,200,,,,,2077-E,Transportation,Roadway,Roadway Resurfacing,Marietta Street,Resurfacing from Peachtree Street to West Marietta Street,High,"$1,246,600","935 Marietta Street Northwest, Atlanta, GA 30318",935 Marietta Street Northwest,,33.7780205,-84.408487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,201,,,,,2204-E,Transportation,Traffic,Traffic Signals,Marietta Street @ Andrew Young International Boulevard,"Replacement of traffic signal LED's, controller monitor signal wiring, communication, & timing at the intersection.",High,"$68,500","224 Andrew Young International Blvd NW, Atlanta, GA 30313",224 Andrew Young International Blvd NW,,33.7584301,-84.3950478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,202,,,,,2205-E,Transportation,Traffic,Traffic Signals,Marietta Street @ Foundry Street,"Replacement of traffic signal LED's, controller monitor signal wiring, communication, & timing at the intersection.",High,"$68,500","235 Andrew Young International Blvd NW, Atlanta, GA 30303",235 Andrew Young International Blvd NW,,33.7594062,-84.3941921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,203,,,,,2015-H,Transportation,Bridges,Bridge Replacement,Evolution,Replacement of 105+ year old bridge over surface parking between Northside Drive & Forsyth Street.,High,"$12,822,400","232 Forsyth Street Southwest, Atlanta, GA 30303",232 Forsyth Street Southwest,,33.748556,-84.3963486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,204,,,,,2206-E,Transportation,Traffic,Traffic Signals,"Martin L. King, Jr. Drive @ I-285 N/B Ramp","Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","3276 M.L.K. Jr Dr NW, Atlanta, GA 30311",3276 M.L.K. Jr Dr NW,,33.752706,-84.4934628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,205,,,,,2207-E,Transportation,Traffic,Traffic Signals,"Martin L. King, Jr. Drive @ Peachtree Street","Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","130 M.L.K. Jr Dr NW, Atlanta, GA 30303",130 M.L.K. Jr Dr NW,,33.7522338,-84.392479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,206,,,,,2208-E,Transportation,Traffic,Traffic Signals,"Martin L. King, Jr. Drive @ Pryor Street","Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","99 M.L.K. Jr Dr NW, Atlanta, GA 30303",99 M.L.K. Jr Dr NW,,33.7520838,-84.3921379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,207,,,,,2078-E,Transportation,Roadway,Roadway Resurfacing,Mayson Street,Resurfacing from Dead End to Dead End,High,"$58,000","113 Mayson St NE, Atlanta, GA 30324",113 Mayson St NE,,33.8112382,-84.3757001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,208,,,,,2253-E,Municiple,Facility,Parks and Recreation Centers,McClatchy Park,"ADA Upgrades, repair basketball and tennis courts.",High,,"McClatchey Park, Atlanta, GA 30309",McClatchey Park,,33.794973,-84.374401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
